Project ID,Year,Year Project Number,Project Name,Document Link,Legitimacy,Website Link,Country,Topic Area,Notes,Full Abstract,Rank,Tech-Solution,,,,,,,,,,,,,,,,
2015-1,2015,1,Creating New Microinsurance Products for Remittance Service Providers in India,https://openknowledge.worldbank.org/bitstream/handle/10986/22542/K8401.pdf?sequence=3&isAllowed=y,,,India,"Remittance, 
Microinsurance",,"Remittances represent significant financial flows between both developing and developed countries that have rapidly increased in volume in recent years. Families who are dependent on remittances from family members abroad are generally in a position of higher risk, and microinsur- ance is well suited to reducing the risk of lower-income families. Currently, India constitutes the largest proportion of global remittances received. Because a strong microinsurance infrastructure already exists there as well, India is a prime target for our solution. We chose to focus our analysis specifically on the corridor (flow) of remittances from the United Arab Emirates because it is the largest source of remittances to India. In addi- tion, this corridor’s primary demographic consists of poorer Indian migrants working in high-risk occupations like construction.
Our proposal recommends two new forms of microinsurance, which we have coined “income stream insurance” (ISI) and “family remittance insur- ance” (FRI). ISI insures the stream of income sent from migrant workers to their home countries in case they meet with an accident or fall sick. FRI directs a portion of the remittance stream into health microinsurance to help protect the livelihood of the migrant workers’ families. An essential element of this idea is a partnership between remittance service providers (RSPs) and microfinance institutions (MFIs) that operate in India and ser- vice this particular corridor. We believe that these microinsurance prod- ucts would not only expand insurance penetration among low-income families but also target the needs of a population heavily involved in remit- tance transactions. MFIs and RSPs have significant profit potential in accessing new sources of revenue and cross-selling to existing customers by implementing this idea as well.",1,,,,,,,,,,,,,,,,,
2015-2,2015,2,Innovative PPP (public-private partnership) Model for Promoting Financial Deepening and Inclusion in the Rice Value Chain in Nigeria,,,,Nigeria,Agricluture,,"The goal of the proposal is to provide a practical and scalable innova- tive solution for improving access to customized financing for smallholder farmers in the rice value chain, thus promoting sustainable poverty reduc- tion in Nigeria.
This proposal first examines the challenges of smallholder rice farmers, including inadequate institutional frameworks and agricultural policies, limited access to financing, and lack of adequate storage facilities. In addi- tion, there are gender-related social issues: the land tenure system makes it even more difficult for female smallholder farmers to acquire land for cultivation, inhibiting their ability to reach their full productive and income-generating potential.
Our proposal proffers the development of an automated warehousing receipt system to improve access to customized financing for smallholder farmers in Nigeria’s rice value chain. It demonstrates this through an inno- vative public-private partnership (PPP) model, the potential of private sec- tor capabilities, and public sector resources to improve smallholder farmers’ access to financing using movable assets such as inventory as collateral to secure loans and get better access to agricultural inputs.
To implement our solution, we propose a consortium of government agencies, private sector partners such as agribusinesses and small and medium enterprises (SMEs); financial institutions including microfinance institutions; and smallholder farmers and cooperatives. Factors for success of the solution include a clear understanding of roles and responsibilities, risk and benefit sharing, mainstreaming of efficiency-enhancing informa- tion technology innovations, and measures to ensure equal participation of men and women.
",2,,,,,,,,,,,,,,,,,
2015-3,2015,3,Decreasing Poverty in the Mining Communities of the World through the Empowerment of Communities in the Control of Mining Royalty Funds: An Application to the Peruvian Case,,,,Peru,Mining,,"Although mining gives governments in many countries access to significant resources through taxes on the mining of minerals, governments often fail to invest such funds in projects aimed at the human development of their populations. Our proposal grounds itself in the case of Peru, in pur- suit of a strategy that increases the effectiveness of how mining royalties are spent in satisfying the needs of the population. First, we propose the use of qualitative indicators to prioritize projects objectively. Subsequently, we focus on the involvement of an external agent of information and control given the task of informing the population of how local government actors are spending mining royalties. We then propose the idea of a project incubator that would serve to finance, implement, and monitor initiatives involving investments in infrastructure and capacity building. Last, should irregularities in the use of mining royalties be found, we propose a mecha- nism by which civil society may raise its complaint to the level of the National Comptroller enabling that office to investigate the validity of such claims. This would be possible through a link between the National Comptroller and the committees of vigilance and oversight of mining communities.",3,,,,,,,,,,,,,,,,,
2015-4,2015,4,Development Impact Bonds—The Power of Participatory Development in Creating Sustainable Market Demand:A Case Study of Open Fires and Inefficient Cookstoves,,,,NA,"Development Impact Bonds (DIBs), 
Cooking","- Broad scope to all developing nations that use Open Fires to cook due to lack of electricity.
- Focuses on restructuring bonds to drive long term growth in the region
- ""This proposed bond model enhances the current structure of DIBs financially, while also building in an innovative component that supports local training, education, and knowledge sharing.""
-  ""Unlike previous versions of DIBs, our model not only provides enhanced financial access to clean cookstove technology, but also furnishes the resources to train local individuals on the maintenance, distribution, and sales of the  cookstoves. This structure enables adoption to occur in a culturally sensitive, sustainable way that empowers citizen involvement and adoption."" ","Millions of people in developing countries use open fires and inefficient cookstoves for meal preparation, resulting in the production of toxic smoke that kills over 4 million people per year. Access to clean cook- stove technology for citizens at the bottom of the economic pyramid can be directly improved through a participatory model of Development Impact Bonds (DIBs). This proposed bond model enhances the current structure of DIBs financially, while also building in an innovative component that supports local training, education, and knowledge sharing.
The solution uses existing capital dedicated to the international develop- ment space by philanthropic institutions or nongovernmental organiza- tions (NGOs) to secure and leverage additional investment from the private sector. With mitigated risk, investors seeking long-term holdings will see high rates of return on their unsecured capital commitment, funded by the savings and economic gains realized by governments and NGOs from the impacts of investment. Coupon payments—subject to the predetermined impact outcome being met—will occur at short- and medium-term time junctures, while a final coupon payment and principal repayment will occur at bond maturation. We propose 5-, 10-, and 15-year junctures for the realization of health, environmental, and economic impacts to be achieved from the increased access to clean cookstoves.
Unlike previous versions of DIBs, our model not only provides enhanced financial access to clean cookstove technology, but also furnishes the resources to train local individuals on the maintenance, distribution, and sales of the cookstoves. This structure enables adoption to occur in a culturally sensitive, sustainable way that empowers citizen involvement and adoption. In addi- tion, the model funds the training of local NGO workers on impact measure- ment to demonstrate to investors the impact of their investment.
",4,,,,,,,,,,,,,,,,,
2015-5,2015,5,Impact.PH: An Initiative to Enhance and Transform the Philippine Nonprofit Sector,,,,Philippine,"Data, Infomation","- "" drive strategic philanthropy and become the premiere source of trusted information on Philippine nonprofits. We seek to make data transparent and accessible. By analyzing each social sector issue and identifying the most effective initiatives that are solving such issues, we aim to drive philanthropy to the most effective organizations.""
- ""At the core of our initiative is a dynamic online database of registered nonprofit organizations and social sector objectives. Our various products and services enhance and utilize this data source""
- ""Our initial target is to actively track at least 1,000 Securities and  Exchange Commission (SEC)-registered nonprofit organizations and 20 social sector objectives in two years""","Impact.PH seeks to drive strategic philanthropy and become the premiere source of trusted information on Philippine nonprofits. We seek to make data transparent and accessible. By analyzing each social sector issue and identifying the most effective initiatives that are solving such issues, we aim to drive philanthropy to the most effective organizations.
At the core of our initiative is a dynamic online database of registered non- profit organizations and social sector objectives. Our various products and services enhance and utilize this data source.
Traditionally, organizations compete for aid funding to operate individually. Instead, Impact.PH aims to identify key social sector objec- tives, such as Philippine Development Plan metrics or upcoming Sustainable Development Goals, and identify the most effective organi- zations that can help achieve these goals. This data-driven solution allows funding organizations to have clear, measurable impact metrics and encourages organizations to contribute to a broader mission rather than operate in silos. By increasing access to information, oversight, transpar- ency, and accountability in the nonprofit sector and thereby enhancing nonprofits’ impact, we can establish trust in the effectiveness of the non- profit sector and grow charitable giving. Through this effort, we endeavor to enable intelligence for the social sector, enlighten donors and other stakeholders, build better nonprofits, and collectively solve social sector issues. Our initial target is to actively track at least 1,000 Securities and Exchange Commission (SEC)-registered nonprofit organizations and 20 social sector objectives in two years.
",5,Yes - Online Database,,,,,,,,,,,,,,,,
2015-6,2015,6,Introducing Internet-Based Funding Mechanisms for World Bank Operations,,,,NA,"World Bank,
Crowdfunding","- ""This proposal outlines how the World Bank can test  new funding mechanisms using Internet-based donation platforms."" 
- To  meet this objective, the proposal explores the adaptation of existing instruments in the World Bank’s funding toolkit, making them “crowdfunding–friendly.” Specifically, we focus on externally financed outputs with crowdfunding organizations and trust funds that can be replenished by online funding campaigns. 
- The proposal also puts forward a three-year implementation plan to develop and pilot such instruments. The overarching objective is to enable development task teams to supplement their activities with funds gathered directly over the Internet for certain types of technical assistance projects, grant-based financing, or supervision activities. ","Realizing new modalities for funding development interventions is a crucial step in sustaining the post-2015 development agenda. One possible area for new sources of development finance is the crowdfunding marketplace that is estimated to raise $15 billion in 2015 and reach
$93 billion by 2025. This proposal outlines how the World Bank can test new funding mechanisms using Internet-based donation platforms. To meet this objective, the proposal explores the adaptation of existing instruments in the World Bank’s funding toolkit, making them “crowdfunding–friendly.” Specifically, we focus on externally financed out- puts with crowdfunding organizations and trust funds that can be replen- ished by online funding campaigns. Our findings show that the former option has low transaction costs and lends itself to certain types of World Bank grant-based financing operations. The latter involves substantially higher administrative and transaction costs but may be used for larger the- matic engagements. The proposal also puts forward a three-year imple- mentation plan to develop and pilot such instruments. The overarching objective is to enable development task teams to supplement their activities with funds gathered directly over the Internet for certain types of technical assistance projects, grant-based financing, or supervision activities. The proposal also discusses the enabling role of the Sustainable Development Goals (SDGs) community in supporting this initiative by introducing tax deductions for online donations and by possibly matching funds raised online. We believe that implementing such instruments can help lay the groundwork for a new era of international development finance.
",6,Yes - Crowdfunding,,,,,,,,,,,,,,,,
2015-7,2015,7,Biodiversity Ambassadors: Strategies for Better Governance of Biodiversity through the Participation of Children and Youth with the Expansion of Ecoexperiencias in Mesoamerica,,Functional Company,http://www.ecoexperiencias.com/,Mexico,"Biodiversity, 
Governace",,"Our proposal was first sent to the contest of the Organization of the American States: the TIC Americas Eco-Challenge. While analyzing the rules of the Ideas for Action competition, we asked ourselves, “Is the future of the next generations to admire mechanical animals? Admire plants that are designed in 3D?” Through our Ecoexperiencias “duality” framework, we discovered and redesigned the needs and feasibility of our current business activities in the Mexican southern state of Chiapas. We believe that this grassroots development framework can be applied to different development interventions, ranging from a local approach to a global one. We have applied it to different activities such as the consolidation of our operations’ technological platform, which has allowed us to expand glob- ally, creating a win-win scenario: our local, national, and international customers get immersed in our culture and biodiversity universe, and the Lacandon indigenous group and other local stakeholders benefit from the different touristic services that Ecoexperiencias offers. Based in our frame- work, we explain how the possibility of materializing in Chiapas the “ECODREAMS Biodiversity Guide” in the short term, and in Mesoamerica the “Eco-Modules” in the medium term, can potentialize our kids and youth “Biodiversity Ambassadors” strategy for better governance of biodiversity globally.",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-8,2015,8,Development Impact Bonds: Financing the Treatment of Neglected Tropical Diseases in Sub-Saharan Africa,,,,Nigeria,"Development Impact Bonds (DIBs), 
Tropical Diseases",,"We propose the application of Development Impact Bonds (DIBs) to finance projects that aim to alleviate the incidence of neglected tropical diseases (NTDs). Under DIBs, private investors provide the initial financing for a service provider that then implements a development project. These investors get a return on their investment depending on the success of the project from the donor. We explain why there is scope to improve the current funding mechanisms used to finance the treat- ment of NTDs and how DIBs could both improve the effectiveness of available funds and increase the financing available for such projects. We would achieve this through our modifications to the existing model, which include encouraging competition between investors and creating a Bonus Committee to help align the incentives of these three key agents. Having demonstrated this specifically with our illustrative example— applying DIBs to finance projects treating schistosomiasis in Ondo State, Nigeria—we also argue more generally that DIBs may be a suitable method of financing a variety of different development projects and could play an important role in financing the post-2015 development agenda.",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-9,2015,9,Diaspora Bonds for Small-Business Promotion: Integrating Return Migrants in Developing Countries,,,,NA,"Return Migrants, Skills Development",,"We identify return migrants as an optimal group of potential contributors to the financing of future development. They hold an interest and stake in the future of their home countries and have already been sending remit- tances that are often invested to foster development. Return and circular migrants possess unique skills gained abroad and continue to return home in increasing numbers. We discuss the challenges regarding return migrants’ integration into their home countries’ labor markets and suggest that, through the creation of new small and medium enterprises (SMEs), return migrants can contribute to the economy through a more productive use of their skill sets. Successful SMEs represent an efficient and market-based, bottom-up development approach. Our solution to improve SME promotion is through expanding the use of diaspora bonds as an additional mechanism for funding young enterprises. We argue that development finance in a world of return migration requires creative collaborations between individuals, the private sector, partnerships, and nongovernmental organizations (NGOs) instead of the maintenance of deep, clear-cut lines between remittances, official development assistance (ODA), and foreign direct investment (FDI).
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2015-10,2015,10,Ensuring Effective Implementation of Domestic Resource Mobilization for Successful Delivery of the Post-2015 Development Agenda in Africa,,,,NA,Domestic Resource Mobilization (DRM),- Focus on Domestic Resource Mobilization (DRM),"The post-2015 development agenda will be adopted during the United Nations Summit in September this year, replacing the Millennium Development Goals (MDGs). Although substantial progresses have been made, most African countries have not reached most of the MDGs (1990–2015), partly because of the failure to secure the $64 billion needed per year. Why did Africa fail to secure enough financial resources to meet the MDG targets, and what can be learned to remedy the situation and successfully mobilize resources for effective delivery of the post-2015 development agenda on the continent? Given the contingent nature of external resources, this note considers domestic resource mobilization (DRM) to be the key to effective delivery of the post-2015 development agenda. Literature broadly supports the use of DRM across the continent, but little research has examined the circumstances under which DRM is most successful. This note innovates by proposing a comprehensive, cross- sector, systematic analytical and predictive model that explains the key factors leading to failure or success, providing policy makers with contex- tual and operational policy options to help successfully implement DRM for effective delivery of the post-2015 agenda.",NA - Honourable mention,,,,,,,,,,,,,,,,,
